,POD10_Combi,POD2_Combi,POD5_Combi,yerrCombi10,yerrCombi2,yerrCombi5,POD10_SSEWMA,POD2_SSEWMA,POD5_SSEWMA,yerrSSEWMA10,yerrSSEWMA2,yerrSSEWMA5,POD10_Q,POD2_Q,POD5_Q,yerrQ10,yerrQ2,yerrQ5,POD10_CP,POD2_CP,POD5_CP,yerrCP10,yerrCP2,yerrCP5,Shift size
0,0.15,0.06,0.08,0.13997199719943987,0.09309484196237726,0.1063469341354042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.11,0.22,0.17963696724226894,0.1226527847217502,0.16238455098931057,0.5
1,0.22,0.07,0.17,0.16238455098931057,0.1000176304458369,0.1472480573725847,0.02,0.0,0.0,0.05488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.11,0.19,0.18569383834688752,0.1226527847217502,0.15378195472811496,1.0
2,0.34,0.11,0.23,0.18569383834688752,0.1226527847217502,0.16496634323400636,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.05488,0.0,0.0390035075345795,0.31,0.09,0.22,0.18129735133200375,0.11218325008663281,0.16238455098931057,1.5
3,0.4,0.12,0.29,0.19203999583420114,0.12738492218469186,0.17787472445516253,0.06,0.0,0.03,0.09309484196237726,0.0,0.06687019066818936,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.05,0.12,0.1740321073825172,0.08543441929339719,0.12738492218469186,2.0
4,0.48,0.13,0.3,0.19584313722977376,0.13183094629107384,0.17963696724226894,0.11,0.03,0.07,0.1226527847217502,0.06687019066818936,0.1000176304458369,0.01,0.01,0.01,0.0390035075345795,0.0390035075345795,0.0390035075345795,0.38,0.1,0.23,0.19027148604034183,0.11760000000000001,0.16496634323400636,2.5
5,0.51,0.25,0.42,0.19596079607921582,0.16974097914174996,0.1934749348106881,0.09,0.01,0.08,0.11218325008663281,0.0390035075345795,0.1063469341354042,0.04,0.03,0.04,0.07681599833368045,0.06687019066818936,0.07681599833368045,0.37,0.06,0.16,0.1892592888077095,0.09309484196237726,0.14370957379381513,3.0
6,0.6,0.27,0.53,0.19203999583420114,0.1740321073825172,0.19564688190717477,0.24,0.05,0.16,0.16741658699185097,0.08543441929339719,0.14370957379381513,0.03,0.03,0.03,0.06687019066818936,0.06687019066818936,0.06687019066818936,0.37,0.07,0.17,0.1892592888077095,0.1000176304458369,0.1472480573725847,3.5
7,0.62,0.26,0.49,0.19027148604034183,0.1719446236437767,0.19596079607921582,0.31,0.07,0.19,0.18129735133200375,0.1000176304458369,0.15378195472811496,0.06,0.06,0.06,0.09309484196237726,0.09309484196237726,0.09309484196237726,0.51,0.04,0.19,0.19596079607921582,0.07681599833368045,0.15378195472811496,4.0
8,0.65,0.21,0.55,0.18697208347772132,0.1596648289386238,0.1950175376728975,0.3,0.05,0.24,0.17963696724226894,0.08543441929339719,0.16741658699185097,0.08,0.08,0.08,0.1063469341354042,0.1063469341354042,0.1063469341354042,0.61,0.07,0.24,0.19119797488467288,0.1000176304458369,0.16741658699185097,4.5
9,0.73,0.4,0.63,0.1740321073825172,0.19203999583420114,0.1892592888077095,0.34,0.08,0.27,0.18569383834688752,0.1063469341354042,0.1740321073825172,0.21,0.21,0.21,0.1596648289386238,0.1596648289386238,0.1596648289386238,0.75,0.09,0.42,0.16974097914174996,0.11218325008663281,0.1934749348106881,5.0
